SPECIES,LATITUDE,LONGITUDE
M.nattereri,56.1666,51.1333
M.nattereri,57.2441,50.9596
M.nattereri,58.5666,49.6500
M.nattereri,55.604,48.950
M.nattereri,55.290,49.287
M.nattereri,55.272,49.269
M.nattereri,55.364,48.250
M.nattereri,55.241,49.217
M.nattereri,54.052,41.933
M.nattereri,51.9166,39.4833
M.nattereri,51.459,39.104
M.nattereri,50.851,38.946
M.nattereri,54.8666,37.6166
M.nattereri,54.909,37.608
M.nattereri,54.890,37.619
M.nattereri,54.895,37.582
M.nattereri,54.898,37.562
M.nattereri,54.858,37.645
M.nattereri,55.4761,37.8043
M.nattereri,54.908,38.803
M.nattereri,55.6060,36.5409
M.nattereri,56.5811,34.9966
M.nattereri,56.5811,34.9966
M.nattereri,56.5817,34.9961
M.nattereri,53.2433,34.3637
M.nattereri,55.4086,37.7353
M.nattereri,55.6496,36.4218
M.nattereri,55.6178,40.3988
M.nattereri,55.6980,40.2921
M.nattereri,55.8299,42.1397
M.nattereri,52.7442,41.3291
M.nattereri,52.3206,42.4882
M.nattereri,54.0790,36.0497
M.nattereri,54.7061,20.6046
M.nattereri,54.7559,20.5708
M.nattereri,54.7488,20.6010
M.nattereri,54.7523,20.4432
M.nattereri,55.0089,21.9691
M.nattereri,50.6184,35.9656
M.nattereri,51.7166,55.0833
M.nattereri,52.1666,56.1333
M.nattereri,54.072,57.452
M.nattereri,54.072,57.452
M.nattereri,54.072,57.452
M.nattereri,54.072,57.452
M.nattereri,54.212,57.471
M.nattereri,54.212,57.471
M.nattereri,53.043,57.065
M.nattereri,53.043,57.065
M.nattereri,53.043,57.065
M.nattereri,53.043,57.065
M.nattereri,53.043,57.065
M.nattereri,53.027,57.124
M.nattereri,53.027,57.124
M.nattereri,53.324,57.606
M.nattereri,55.192,58.523
M.nattereri,55.192,58.523
M.nattereri,55.192,58.523
M.nattereri,55.192,58.523
M.nattereri,53.6166,56.6166
M.nattereri,53.6849,58.6751
M.nattereri,52.572,56.867
M.nattereri,53.030,56.772
M.nattereri,53.000,56.751
M.nattereri,53.000,56.751
M.nattereri,53.8821,45.9220
M.nattereri,54.7347,43.1918
M.nattereri,53.4260,50.0062
M.nattereri,53.4275,49.9929
M.nattereri,53.4092,50.0711
M.nattereri,53.4152,50.0057
M.nattereri,53.4188,50.0057
M.nattereri,53.4517,49.6822
M.nattereri,53.4517,49.6822
M.nattereri,53.4386,49.8931
M.nattereri,53.4396,50.0173
M.nattereri,53.2301,49.7987
M.nattereri,53.2289,49.7989
M.nattereri,53.4531,49.7231
M.nattereri,53.4531,49.7231
M.nattereri,53.4531,49.7231
M.nattereri,53.4408,49.7357
M.nattereri,53.4385,49.6563
M.nattereri,55.4220,44.5533
M.nattereri,55.4387,43.3409
M.nattereri,55.4503,44.4694
M.nattereri,55.4503,44.4694
M.nattereri,56.497,59.293
M.nattereri,55.675,60.349
M.nattereri,55.017,57.311
M.nattereri,55.017,57.311
M.nattereri,54.8413,57.8818
M.nattereri,55.138,58.726
M.nattereri,55.138,58.726
M.nattereri,55.138,58.726
M.nattereri,55.138,58.726
M.nattereri,55.138,58.726
M.nattereri,55.150,58.774
M.nattereri,55.150,58.774
M.nattereri,55.132,58.779
M.nattereri,55.132,58.779
M.nattereri,55.132,58.779
M.nattereri,55.132,58.779
M.nattereri,55.132,58.779
M.nattereri,55.132,58.779
M.nattereri,55.132,58.779
M.nattereri,55.132,58.779
M.nattereri,55.132,58.779
M.nattereri,55.132,58.779
M.nattereri,58.0049,54.1715
M.nattereri,56.784,55.761
M.nattereri,56.442,54.484
M.nattereri,56.908,56.644
M.nattereri,57.730,56.171
M.nattereri,59.667,30.796
M.nattereri,58.7000,29.4333
M.nattereri,59.968,29.331
M.nattereri,60.5221,28.7902
M.nattereri,60.4437,29.0429
M.nattereri,59.5473,30.0864
M.nattereri,58.5885,29.6010
M.nattereri,57.8193,28.3317
M.nattereri,43.6300,46.3638
M.nattereri,41.4591,47.7494
M.nattereri,42.3850,46.9707
M.nattereri,42.1703,47.1166
M.nattereri,43.2462,46.5900
M.nattereri,42.4368,46.5477
M.nattereri,42.4699,46.8651
M.nattereri,42.4450,46.5504
M.nattereri,42.0576,48.2887
M.nattereri,42.9994,47.2259
M.nattereri,45.3285,42.8566
M.nattereri,44.0273,44.0435
M.nattereri,44.0316,40.1324
M.nattereri,43.5131,39.8758
M.nattereri,44.089,39.752
M.nattereri,44.089,39.752
M.nattereri,44.6887,38.3370
M.nattereri,44.6887,38.5088
M.nattereri,44.7633,38.4971
M.nattereri,44.4691,38.9774
M.nattereri,44.7132,37.4574
M.nattereri,43.9244,40.5670
M.nattereri,43.6638,41.8858
M.nattereri,43.0051,44.6389
M.nattereri,44.6109,33.7394
M.nattereri,44.8623,34.3458
M.nattereri,44.5110,34.2327
M.nattereri,44.9065,34.1757
M.nattereri,44.9483,34.1001
M.nattereri,44.6641,34.1469
M.nattereri,44.7205,34.2290
M.nattereri,45.0921,34.3848
